City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
37,uttarkashi,30.7333,78.45,8.64,25,0,2.69,IN,1707362780
38,okoneshnikovo,54.8377,75.0834,-9.87,93,18,5.85,RU,1707362780
39,san antonio de pale,-1.4014,5.6325,27.71,79,23,2.42,GQ,1707362780
40,keflavik,64.0049,-22.5624,-3.76,74,0,6.69,IS,1707362780
41,ribeira grande,38.5167,-28.7,16.54,87,50,8.94,PT,1707362781
42,manismata,-2.4667,111.0333,30.07,70,84,1.07,ID,1707362781
43,chernyshkovskiy,48.4219,42.2308,4.24,85,98,8.61,RU,1707362781
44,wagar,16.1525,36.2032,18.65,70,25,3.12,SD,1707362781
45,nar'yan-mar,67.6713,53.087,-17.16,96,100,5.81,RU,1707362781
46,yellowknife,62.456,-114.3525,-16.71,78,100,2.57,CA,1707362781
47,mandalgovi,45.7625,106.2708,-16.7,85,19,2.88,MN,1707362782
48,qaqortoq,60.7167,-46.0333,-6.83,78,100,2.12,GL,1707362782
49,hasaki,35.7333,140.8333,9.22,64,100,2.39,JP,1707362782
50,santo domingo,18.5001,-69.9886,24.46,84,75,0.89,DO,1707362569
51,lebu,-37.6167,-73.65,13.81,77,96,8.97,CL,1707362782
52,atherton,53.5237,-2.4935,3.27,82,100,2.24,GB,1707362782
53,badger,64.8,-147.5333,-15.91,81,40,1.54,US,1707362783
54,al burayqah,30.4062,19.5739,15.54,42,29,5.17,LY,1707362783
55,vilyuchinsk,52.9306,158.4028,-5.85,79,100,0.86,RU,1707362783
56,port macquarie,-31.4333,152.9167,24.38,71,100,6.78,AU,1707362783
57,puerto deseado,-47.7503,-65.8938,12.44,61,1,4.51,AR,1707362783
58,ciudad guayana,8.3533,-62.6528,27.51,83,96,2.68,VE,1707362783
59,santa isabel,-23.3156,-46.2214,19.61,96,65,1.17,BR,1707362784
60,sulak,43.2734,47.5146,8.96,57,22,3.41,RU,1707362784
61,port mathurin,-19.6833,63.4167,26.83,78,82,8.82,MU,1707362784
62,zhalantun,48.0,122.7167,-10.05,69,42,2.04,CN,1707362784
63,pecan plantation,32.3604,-97.6756,16.28,75,0,6.17,US,1707362785
64,kanaya,34.8167,138.1333,9.95,49,20,1.54,JP,1707362785
65,nova sintra,14.8667,-24.7167,21.22,74,0,4.67,CV,1707362785
66,meiktila,20.8667,95.8667,25.36,46,0,1.24,MM,1707362785
67,chonchi,-42.6128,-73.8092,10.73,96,38,0.9,CL,1707362785
68,east london,-33.0153,27.9116,20.52,60,0,4.63,ZA,1707362786
69,iqaluit,63.7506,-68.5145,-20.15,59,20,6.69,CA,1707362786
70,miyako,39.6367,141.9525,5.23,42,27,0.79,JP,1707362786
71,talnakh,69.4865,88.3972,-25.6,89,28,1.94,RU,1707362786
72,poronaysk,49.2167,143.1167,-12.68,75,95,0.46,RU,1707362786
73,ocean city,39.2776,-74.5746,2.77,85,2,0.77,US,1707362787
74,hithadhoo,-0.6,73.0833,27.48,77,92,3.77,MV,1707362787
75,ulsteinvik,62.3432,5.8487,-2.18,82,16,3.58,NO,1707362787
76,arraial do cabo,-22.9661,-42.0278,23.98,94,20,0.0,BR,1707362714
77,san patricio,28.017,-97.5169,20.97,81,92,5.73,US,1707362787
78,cumana,10.4635,-64.1775,25.78,88,33,1.04,VE,1707362787
